region,district,area
Upper West,Unknown,Jebugu
Upper West,Unknown,Kuntule
Upper East,Bolgatanga Municipal District,Agric Dam
Upper West,Sissala West,Carlo
Upper West,Sissala West,Tuwi
Upper West,Sissala West,Gumo
Upper West,Lambussie Karni,Suleyiri
Upper West,Unknown,Nyalifu
Upper West,Sissala West,Wasai
Upper West,Sissala West,Niator
Upper West,Unknown,Nankuole
Upper West,Unknown,Arko
Upper West,Sissala West,Butolo
Upper West,Sissala West,Kunni
Upper West,Unknown,Kulpawn Headwaters Forest Reserve
Upper West,Sissala West,Sambaga
Upper West,Unknown,Chawari
Upper West,Sissala West,Gobi
Upper West,Unknown,Dolachari
Upper West,Unknown,Takuu
Upper West,Sissala West,Pana
Upper West,Unknown,Buwia
Upper West,Unknown,Bukwala
Western,Unknown,Elonyi
Western,Jomoro,Fort Apollonia
Western,Unknown,Asufui Kpole
Western,Unknown,Eguntwi
Western,Unknown,Melebi
Western,Unknown,Tobotobo
Western,Unknown,Kwable
Western,Unknown,Egwalie
Western,Unknown,Mien
Western,Unknown,Nwia
Western,Unknown,Yamayama
Western,Unknown,Ekwoguni
Western,Unknown,Asuetem
Western,Unknown,Atubozure
Western,Unknown,Awuren
Western,Unknown,Amadinga
Western,Unknown,Edna
Western,Unknown,Bosoke
Western,Unknown,Keneni
Western,Unknown,Aholezure
Western,Unknown,Mpatabo
Western,Unknown,Ankasa Chi
Western,Unknown,Amansuri
Western,Unknown,Mambuen
Western,Unknown,Benea
Western,Unknown,Singa
Western,Unknown,Adazure
Western,Unknown,Damofu
Western,Unknown,Aibozure
Western,Unknown,Kabole
Western,Unknown,Asufuichi
Western,Unknown,Apuna
Western North,Unknown,Patmogye
Western,Unknown,Tenie
Western,Unknown,Ankasa River Forest Reserve Block B
Western,Unknown,Nkwantazure
Western North,Unknown,Esufufuo
Western North,Unknown,Sutri
Western North,Unknown,Ajahara
Western,Unknown,Akajiri Rapids
Western,Unknown,Mwohe
Western,Unknown,Ekpotini
Western,Unknown,Pebro
Western,Unknown,Edumiali
Western,Unknown,Tamwasu
Western North,Unknown,Ewuli
Western North,Unknown,Kohole
Western North,Unknown,Koholezure
Western,Unknown,Sungua
Western North,Unknown,Koholezure Rapids
Western,Unknown,Datano Rapids
Western,Unknown,Tolungbwang
Western North,Unknown,Benzaku
Western North,Unknown,Afosua
Western North,Unknown,Esindima
Western North,Unknown,Alulua
Western North,Unknown,Ajatwibo
Western North,Unknown,Akokrum
Western North,Unknown,Adiami
Western North,Unknown,Atum
Western North,Unknown,Adife
Western North,Unknown,Kunkruna
Western North,Unknown,Awanga
Western North,Unknown,Ehole
Western North,Unknown,Kanyankaw
Western North,Unknown,Abarabo
Western North,Unknown,Afiansara
Western North,Unknown,Sane
Western North,Unknown,Nimri
Western North,Unknown,Mumwi
Western North,Unknown,Esikamosu
Western North,Unknown,Ajia
Western North,Unknown,Bochyai
Western North,Unknown,Subri
Western,Unknown,Atoko
Western,Unknown,Kroba
Western,Unknown,Bofi
Western,Unknown,Asansu
Western,Unknown,Turumpa
Western,Unknown,Amoako
Western,Unknown,Wakradi
Western,Unknown,Aboadaka Rapids
Western,Unknown,Adaha
Western North,Aowin/Suaman,Asempanaye
Western North,Aowin/Suaman,Asomdwei
Western North,Aowin/Suaman,Ntonso
Western North,Unknown,Ateimu
Western North,Unknown,Asufuri
Western North,Unknown,Anobra
Western North,Unknown,Krasu
Western North,Unknown,Nkyan
Western North,Unknown,Breman
Western North,Aowin/Suaman,Damoakrom
Western North,Aowin/Suaman,Adwoam Number Two
Western,Unknown,Afumadin
Western,Wassa Amenfi West,Abakoase
Western North,Aowin/Suaman,Freetown
Western,Wassa Amenfi West,Mpeasem
Western,Wassa Amenfi West,Tanokrom
Western,Wassa Amenfi West,Nyame Nto Nkom
Western,Wassa Amenfi West,Daaman
Western,Wassa Amenfi West,Onyameyedo
Western,Wassa Amenfi West,Ohiamankwa
Western North,Unknown,Bele
Western,Wassa Amenfi West,Woman No Good
Western,Unknown,Bonsutoro
Western North,Unknown,Adiabaw
Western North,Unknown,Awodu
Western North,Unknown,Mugwa
Western,Unknown,Amoaful
Western,Unknown,Agyaa
Western,Unknown,Aurabo
Western North,Unknown,Asunsu
Western North,Aowin/Suaman,Ntejeso
Western North,Unknown,Aprapong
Western,Unknown,Bengyire
Western,Wassa Amenfi West,Jomuro
Western North,Unknown,Adunkwa
Western North,Unknown,Janeso
Western North,Unknown,Ahama
Western North,Unknown,Akahi
Western North,Unknown,Sika
Western North,Unknown,Aturun
Western North,Unknown,Rangroi
Western North,Unknown,Atanaya
Western North,Aowin/Suaman,Owusu
Western North,Aowin/Suaman,Beekokrom
Western North,Unknown,Genei
Western North,Unknown,Papue
Western North,Unknown,Aura
Western North,Unknown,Ajauinsa
Western,Unknown,Mpaporosua
Western North,Bodi,Atabokaa
Western North,Sefwi Akontobra,Yawkrom
Western,Unknown,Anwiasue
Western,Unknown,Aprotu
Western North,Sefwi Akontobra,Kwasiahakrom
Western North,Sefwi Akontobra,Sikanyeasem
Western,Unknown,Fofoe
Western,Unknown,Asuofufu
Western,Unknown,Gyaekasa
Western,Unknown,Atweneboana
Western North,Sefwi Akontobra,Tekyiman
Western North,Sefwi Akontobra,Pakyi
Western North,Sefwi Akontobra,Nkronsa Number One
Western North,Sefwi Akontobra,Nkronsa Number Two
Western North,Sefwi Akontobra,Nsiakrom
Western North,Unknown,Kobo
Western North,Sefwi Akontobra,Nneko
Western North,Sefwi Akontobra,Asantekrom
Western North,Sefwi Akontobra,Tailorkrom
Western North,Sefwi Akontobra,Agyemankrom
Western,Unknown,Afodowa
Western North,Sefwi Akontobra,Nsonyameye
Western North,Sefwi Akontobra,Sunkwa
Western North,Sefwi Akontobra,Bredi
Western North,Sefwi Akontobra,Kramokrom
Western North,Sefwi Akontobra,Tweritweri
Western,Unknown,Asuketewa
Western,Unknown,Afamasu
Western North,Sefwi Akontobra,Wansambirampa
Western,Unknown,Benibon
Western North,Sefwi Akontobra,Bethleham
Western North,Sefwi Akontobra,Babakrom
Western North,Sefwi Akontobra,Abesim
Western North,Sefwi Akontobra,Asanteman
Western,Unknown,Anokye
Western,Unknown,Bokakronkron
Western North,Sefwi Akontobra,Fawokabra
Western,Unknown,Fawokabra
Western North,Sefwi Akontobra,Mmpeasem
Western North,Sefwi Akontobra,Nsawura
Western,Unknown,Nsawura
Western North,Sefwi Akontobra,Dapaakrom
Western,Unknown,Kwaadasa
Western North,Sefwi Akontobra,Mampon
Western North,Sefwi Akontobra,Nyamebekyere
Western,Unknown,Boopri
Western North,Sefwi Akontobra,Akwafo
Western North,Sefwi Akontobra,Boakyekrom
Western,Unknown,Nsakuhoma
Western,Unknown,Fiafa
Western North,Sefwi Akontobra,Bonwere
Western,Unknown,Abumasaa
Western,Unknown,Fiafaakua
Western North,Sefwi Akontobra,Bonsamkrom
Western North,Sefwi Akontobra,Akuapimman
Western,Unknown,Kofi Wusu
Western,Unknown,Bonsuo
Western North,Sefwi Akontobra,Ahansowodie
Western North,Sefwi Akontobra,Kwabenaakomkrom
Western North,Sefwi-Wiawso,Akwapiman
Western North,Sefwi Akontobra,Mmerekukrom
Western North,Sefwi Akontobra,Nyamenndae
Western North,Sefwi-Wiawso,Afapadom-Anwonafokrom
Western North,Sefwi-Wiawso,Fuakyekrom
Western,Unknown,Ewurosue
Western,Unknown,Awosa
Western,Unknown,Egensue
Western North,Sefwi-Wiawso,Adeembra
Western,Unknown,Ewobrasue
Western North,Sefwi Akontobra,Ayisakrom
Western,Unknown,Suhoma
Western North,Sefwi Akontobra,Esiekrom
Western North,Sefwi Akontobra,Kofikrom
Western North,Sefwi Akontobra,Nyamempebone
Western North,Sefwi Akontobra,Kwamepuruokrom
Western,Unknown,Pirie
Western,Unknown,Ntoasue
Western,Unknown,Akokobenomnsue
Western North,Sefwi Akontobra,Dome Number One
Western,Unknown,Bommo
Western,Unknown,Nyamewa
Western,Unknown,Ruru
Western North,Sefwi Akontobra,Ruru
Western North,Sefwi Akontobra,Ntom
Western,Unknown,Mmotwebaa
Western North,Bodi,Jukwa
Western North,Sefwi Akontobra,Eyibo
Western North,Sefwi Akontobra,Anafo
Western North,Sefwi Akontobra,Ateso
Western North,Sefwi Akontobra,Etwia
Western North,Sefwi Akontobra,Toyanon
Western North,Sefwi Akontobra,Kofiasantikrom
Western,Unknown,Ajinoa
Western North,Sefwi Akontobra,Michiowi
Western,Unknown,Mbrambra
Western North,Sefwi Akontobra,Dumasi
Western,Unknown,Yoyo
Western,Unknown,Nkama
Western North,Sefwi Akontobra,Brefikrom
Western,Unknown,Akrusu
Western North,Sefwi Akontobra,Daro
Western,Unknown,Abrabra
Western,Unknown,Atambrakwa
Western North,Sefwi Akontobra,Famaso
Western North,Sefwi Akontobra,Anyafutu
Western North,Sefwi Akontobra,Kwakakrom
Western North,Sefwi Akontobra,Ongwambo
Western,Unknown,Asuisika
Western,Unknown,Bentihun
Western North,Sefwi Akontobra,Asuisika
Western,Unknown,Mamamra
Western North,Sefwi Akontobra,Kokoseukrom
Western North,Sefwi Akontobra,Arambo
Western North,Sefwi Akontobra,Asunso
Western North,Sefwi Akontobra,Sigam
Western North,Sefwi Akontobra,Bentihun
Western North,Sefwi Akontobra,Dumuaba
Western North,Sefwi Akontobra,Apaso
Western North,Sefwi Akontobra,Aframbo
Western North,Sefwi Akontobra,Dumuabu
Western,Unknown,Aframbo
Western North,Sefwi Akontobra,Asuadai
Western North,Sefwi Akontobra,Kojobrunikrom
Western North,Sefwi Akontobra,Nkwamagata
Western North,Sefwi Akontobra,Kwaokrom
Western North,Sefwi Akontobra,Siamokrom
Western North,Sefwi Akontobra,Besia
Western North,Sefwi Akontobra,Asuaso
Western North,Sefwi Akontobra,Yaotamwakrom
Western,Unknown,Atanaya
Western North,Sefwi Akontobra,Atanaya
Western North,Sefwi Akontobra,Bisiasi
Western North,Sefwi Akontobra,Forikro
Western North,Sefwi Akontobra,Kwasibeniakrom
Western North,Sefwi Akontobra,Ahisakrom
Western North,Sefwi Akontobra,Kojomensakrom
Western North,Sefwi Akontobra,Afudum
Western,Unknown,Mpraika
Western,Unknown,Pepiri
Western North,Sefwi Akontobra,Anyatuntum
Western North,Sefwi Akontobra,Suhuma
Western North,Sefwi Akontobra,Asantimang
Western North,Sefwi Akontobra,Aprapong
Western North,Sefwi Akontobra,Siamkrom
Western North,Sefwi Akontobra,Achiasi
Western North,Sefwi Akontobra,Asimakrom
Western North,Sefwi Akontobra,Kwamidurukrom
Western North,Sefwi Akontobra,Adiasekrom
Western North,Sefwi Akontobra,Mampurom
Western North,Sefwi Akontobra,Ajakrom
Western North,Sefwi Akontobra,Sangroso
Western North,Sefwi Akontobra,Nsaura
Western,Unknown,Abomisua
Western North,Sefwi Akontobra,Asidukrom
Western North,Sefwi Akontobra,Kwansabo
Western North,Sefwi Akontobra,Kontokorakrom
Western North,Sefwi Akontobra,Sulopakrom
Western North,Sefwi Akontobra,Fiafano
Western,Unknown,Asamwa
Western North,Sefwi-Wiawso,Edumwombo
Western,Unknown,Edumwombo
Western North,Sefwi Akontobra,Asafokrom
Western North,Sefwi Akontobra,Asamwa
Western North,Sefwi-Wiawso,Miano
Western North,Sefwi-Wiawso,Mpakerie
Western North,Sefwi-Wiawso,Senuafi
Western North,Sefwi-Wiawso,Defoa
Western North,Sefwi-Wiawso,Bopiri
Western North,Sefwi-Wiawso,Kokakwa
Western North,Sefwi-Wiawso,Asumbia
Western North,Sefwi-Wiawso,Pewiako
Western North,Sefwi-Wiawso,Kwamikuakrom
Western North,Sefwi-Wiawso,Nfuma
Western North,Sefwi-Wiawso,Patriso
Western North,Sefwi Akontobra,Akuakukrom
Western North,Sefwi Akontobra,Tanokuma
Western North,Sefwi Akontobra,Baferekrom
Western North,Sefwi Akontobra,Edwiaukrom
Western,Unknown,Dumibo
Western North,Sefwi Akontobra,Asekrom
Western North,Sefwi Akontobra,Yabakrom
Western North,Sefwi Akontobra,Akokokrom
Western North,Sefwi Akontobra,Kofiasamwakrom
Western North,Sefwi Akontobra,Abaukwasi
Western North,Sefwi Akontobra,Kokobeniakrom
Western,Unknown,Kwasiasu
Western North,Sefwi Akontobra,Elibu
Western North,Sefwi Akontobra,Kwasiaso
Western North,Sefwi Akontobra,Naho
Western North,Sefwi Akontobra,Sikaniaboso
Western North,Sefwi Akontobra,Senejakrom
Western North,Sefwi Akontobra,Buatim
Western North,Sefwi Akontobra,Chenchenasi
Western North,Sefwi Akontobra,Afwaso
Western North,Sefwi Akontobra,Ekum
Western North,Sefwi Akontobra,Ahoinon
Western North,Sefwi Akontobra,Kwabunku
Western North,Sefwi Akontobra,Kwadu
Western North,Sefwi Akontobra,Kwamadokrom
Western North,Sefwi Akontobra,Mpiasem
Western North,Sefwi Akontobra,Teyakrom
Western,Unknown,Suhuma
Western,Wassa Amenfi West,Kwabenka
Western North,Sefwi Akontobra,Sankori
Western North,Sefwi Akontobra,Afudua
Western North,Sefwi Akontobra,Humjibre
Western North,Sefwi Akontobra,Beriberi
Western,Unknown,Bifiedu
Western North,Sefwi Akontobra,Yuabra
Western North,Sefwi Akontobra,Kwatechi
Western,Wassa Amenfi West,Mpumasi
Western North,Sefwi Akontobra,Korkorwa
Western,Unknown,Aiyibosu
Bono,Jaman South,Baatia
Bono,Jaman South,Kwame Seikurom
Bono,Jaman South,Baano Number Three
Bono,Jaman South,Baano Number Two
Bono,Jaman South,Nsuansan
Bono,Jaman South,Kwame Nkama
Bono,Jaman South,Yawnkwa
Bono,Jaman South,Kwamepim
Bono,Jaman South,Adiako Number Two
Bono,Jaman South,Mefasakurom
Bono,Jaman South,Kramokurom
Bono,Unknown,Anukore
Bono,Jaman South,New Baanafo
Bono,Unknown,Pintre
Bono,Unknown,Papasua
Bono,Jaman South,Kwaako
Bono,Jaman South,Antwikurom
Bono,Unknown,Maka
Bono,Unknown,Mano
Bono,Unknown,Gago
Bono,Unknown,Nabu
Bono,Unknown,Mebuo
Bono,Unknown,Mana
Bono,Unknown,Nana
Bono,Unknown,Dongi
Bono,Unknown,Linto
Western,Unknown,Abakoo
Western North,Sefwi-Wiawso,Aboagyekrom Camp Number Two
Western North,Sefwi-Wiawso,Suiano Number Two
Western North,Sefwi-Wiawso,Suiano-Larbikrom
Western North,Sefwi-Wiawso,Suiano Number One
Western North,Sefwi-Wiawso,Kwame Tanokrom
Western,Unknown,Benkyem
Bono,Jaman South,Basakurom
Bono,Jaman South,Komfuokurom
Bono,Berekum,Botokurom
Bono,Jaman South,Baanafo
Bono,Unknown,Mpuasutia
Bono,Jaman South,Tiwobabi
Bono,Jaman North,Yaw Mensakurom
Bono,Jaman North,Adanenkurom
Bono,Jaman South,Esotia
Bono,Jaman South,Nkokotua
Bono,Jaman South,Asratoa
Bono,Jaman South,Boadwo
Bono,Jaman South,Abuokurom
Bono,Unknown,Asuabanta
Bono,Jaman South,Kwame Agyei Kurom
Bono,Jaman South,Diawuokurom
Bono,Berekum,Kuroda Damu
Bono,Berekum,Baahenekurom
Bono,Jaman South,Kwasi Boate Kurom
Bono,Berekum,Nkwanta Keseem
Bono,Berekum,Pruso
Bono,Berekum,Aboraakurom
Bono,Berekum,Kwame Nimokurom
Bono,Berekum,Kwame Bob Kurom
Bono,Berekum,Nyameadom
Bono,Berekum,Ohiamaadwene
Bono,Berekum,Akwatia Village
Bono,Unknown,Owusutaka
Bono,Jaman North,Yaw Twenekurom
Bono,Jaman North,Yaw Dabikurom
Bono,Jaman North,Berekumfo Akuraa
Bono,Jaman North,Akoroforo
Bono,Unknown,Asukesu
Bono,Jaman North,Domeabra
Bono,Jaman North,Yaw Daakurom
Bono,Unknown,Akwata
Bono,Jaman North,Hankadua
Bono,Unknown,Asikasa
Bono,Tain,Siriki
Bono,Tain,Komfuokurom
Bono,Jaman North,Asantekurom
Bono,Tain,Kwadwoako
Bono,Unknown,Samansuo
Bono,Tain,Akokurom
Bono,Tain,Akoroforo
Bono,Unknown,Apaye
Bono,Berekum,Dweneho
Bono,Berekum,Asepru
Bono,Berekum,Nhwe Nyame
Bono,Unknown,Dontikuma
Bono,Berekum,Ampenkuro
Bono,Berekum,Domeabra
Bono,Unknown,Bengribenum
Bono,Tain,Kyekyewere
Bono,Unknown,Pem
Bono,Unknown,Kwasitia
Bono,Unknown,Benbrese
Bono,Unknown,Ladofi
Bono,Unknown,Wonge
Bono,Unknown,Bubuko
Bono,Unknown,Yotute
Bono,Unknown,Dogyoto
Bono,Unknown,Bati
Bono,Unknown,Tokorobi
Bono,Jaman North,Koti
Bono,Unknown,Aturudu
Bono,Jaman North,Sumaahenekurom
Bono,Jaman North,Mantukwa
Bono,Jaman North,Amanfooso
Bono,Unknown,Mayera
Bono,Jaman North,Wamsua
Bono,Unknown,Tetesua
Bono,Unknown,Buni
Bono,Jaman North,Gyaragbo
Bono,Unknown,Basua
Bono,Unknown,Kokoaa
Bono,Unknown,Krusua
Bono,Unknown,Kprubaro
Bono,Unknown,Saara
Bono,Unknown,Yaadi
Bono,Unknown,Teteke
Bono,Unknown,Bolia
Bono,Unknown,Gbongbon
Bono,Unknown,Wunta
Bono,Unknown,Kwadwo
Bono,Unknown,Katongore
Bono,Tain,Maanukurom
Bono,Unknown,Nyampopa
Bono,Jaman North,Adinkrakurom
Bono,Jaman North,Nyamebekyere
Bono,Tain,Tanokurom
Bono,Tain,Bui
Bono,Unknown,Lawal
Bono,Unknown,Gyaragbo
Bono,Unknown,Yembri
Western North,Sefwi-Wiawso,Aboagyekrom
Western North,Sefwi-Wiawso,Antokrom
Western North,Sefwi-Wiawso,Dansokrom
Western North,Sefwi-Wiawso,Kodwobrafokrom
Western North,Sefwi-Wiawso,Menpeasem
Western North,Juaboso,Benkyema-Barrier
Western North,Juaboso,Benkyema Nkwanta
Western,Unknown,Esuete
Western North,Sefwi-Wiawso,Kwakukyekrom
Western,Unknown,Sunkawra
Western North,Sefwi-Wiawso,Monikannko
Western North,Sefwi-Wiawso,Rome
Western North,Sefwi-Wiawso,Obuokrom
Western North,Bodi,Kwasi Addaikrom
Western North,Bodi,Kwakuhorkrom
Western North,Bodi,Addansokrom
Western North,Bodi,Bepoase
Western North,Sefwi-Wiawso,Akyiakyem
Western North,Bodi,Kodwosamykrom
Western North,Bodi,Kofibrafokrom
Western North,Bodi,Kwasiadukrom
Western North,Bodi,Kodwokrom
Western North,Bodi,Piokrom
Western North,Bodi,Aboaboso
Western North,Bodi,Oparekrom
Western North,Bodi,Domeabra
Western North,Bodi,Asuasu
Western North,Bodi,Sikaneasem
Western,Unknown,Kwaadusika
Western North,Sefwi-Wiawso,Nkonya
Western North,Sefwi-Wiawso,Pokukrom-Bredi
Western North,Sefwi-Wiawso,Okrakrom-Piase
Western North,Sefwi-Wiawso,Kwakukrawiakrom
Western North,Sefwi-Wiawso,Hiamadwen
Western North,Sefwi-Wiawso,Nyamennae
Western North,Sefwi-Wiawso,Abrabra
Western North,Bodi,Nyamebekyere Number One
Western North,Bodi,Nyamebekyere Number Two
Western North,Bodi,Odumtarkoraa
Western North,Sefwi-Wiawso,Paradise
Western North,Sefwi-Wiawso,Mile Five
Western North,Sefwi-Wiawso,Kramokrom
Western North,Sefwi-Wiawso,Mile Three Number Two
Western North,Sefwi-Wiawso,Mile Three Number One
Western North,Sefwi-Wiawso,Mile Two
Western,Unknown,Kuruma
Western North,Sefwi-Wiawso,Suiano
Western North,Sefwi-Wiawso,Eighty-Two
Western North,Sefwi-Wiawso,Eighty-One
Western North,Sefwi-Wiawso,Boafoyena
Western North,Sefwi-Wiawso,Abonse New Town
Western North,Sefwi-Wiawso,Kodwonsiakrom
Western North,Sefwi-Wiawso,Koomoukrom
Western North,Sefwi-Wiawso,Kodwohunkrom
Western North,Sefwi-Wiawso,Old Abonse
Western North,Sefwi-Wiawso,Banafo
Western North,Sefwi-Wiawso,Kwakubadu
Western North,Sefwi-Wiawso,Mangoase
Western North,Sefwi-Wiawso,Agokrom
Western North,Sefwi-Wiawso,Bekyiwa
Ahafo,Asunafo South,Boatenkrom
Ahafo,Asunafo South,New Egyisu
Ahafo,Asunafo South,Onyamennae
Ahafo,Unknown,Ahirinsu
Ahafo,Asunafo South,Tuffuokrom
Ahafo,Asunafo South,Mmoframfaadwen
Ahafo,Asunafo South,Nimokrom
Ahafo,Asunafo South,Amdakyeikrom
Ahafo,Asunafo South,Ntonso
Ahafo,Asunafo South,Ntonso-Nyamebekyere
Ahafo,Asunafo South,Manhyia Number Two
Western North,Sefwi-Wiawso,Beposo Number Two
Western North,Sefwi-Wiawso,Fawoman
Western North,Sefwi-Wiawso,Nyetsena
Ahafo,Asunafo South,Beposo Number One
Ahafo,Asunafo South,Beposo Extension
Ahafo,Asunafo South,Quarters
Ahafo,Asunafo South,Akurafu
Ahafo,Asunafo South,Onwe
Western North,Juaboso,Kwamikawkrom
Western North,Juaboso,Asinekrom
Western,Unknown,Aomasu
Western North,Sefwi-Wiawso,Kruabasa
Western North,Sefwi-Wiawso,Kobnausakrom
Western North,Sefwi-Wiawso,Kobnasubrukrom
Western North,Sefwi-Wiawso,Ahwekrom
Western North,Sefwi-Wiawso,Kwitakrom
Western North,Juaboso,Boate
Western North,Sefwi-Wiawso,Boete
Western North,Sefwi-Wiawso,Jambo
Western North,Sefwi-Wiawso,Ajeikrom
Western North,Sefwi-Wiawso,Bakwaiyakrom
Western,Unknown,Botcabo
Western,Unknown,Kobiesu
Western North,Sefwi-Wiawso,Bankorimisa
Western North,Sefwi-Wiawso,Kofi Akaikrom
Western North,Sefwi-Wiawso,Bukurikrom
Western,Unknown,Borefia
Western North,Sefwi-Wiawso,Chirimaatinkrom
Western North,Sefwi-Wiawso,Yachereme
Western North,Sefwi-Wiawso,Mafe
Western North,Sefwi-Wiawso,Adukrom
Western North,Sefwi-Wiawso,Nduduakrom
Western North,Sefwi-Wiawso,Kwesi Abokrom
Western North,Bodi,Achinichin
Western North,Juaboso,Besimeyi
Western North,Bodi,Banum
Western,Unknown,Auhiama
Western,Unknown,Borasi
Western North,Bodi,Abokrom
Western,Unknown,Abokru
Western,Unknown,Amiesu
Western North,Bodi,Kwumbodukrom
Western North,Bodi,Kwakrom
Western North,Bodi,Bodukrom
Western North,Bodi,Ajeikrom
Western,Unknown,Kojaka
Western North,Bodi,Kwambodukrom
Western,Unknown,Beyinsu
Western North,Bodi,Amwunini
Western,Unknown,Ngunasu
Western North,Bodi,Janokrom
Western,Unknown,Bonsawi
Western North,Bodi,Krakwesikrom
Western North,Bodi,Yaomensakrom
Western North,Bodi,Atakesekrom
Western North,Bodi,Bakutei
Western,Unknown,Ahumakawa
Western,Unknown,Kokosu
Western,Unknown,Amiesua
Western,Unknown,Bohuma
Western North,Bodi,Danchemoso
Western North,Bodi,Abrabra
Western,Unknown,Juaben
Western North,Sefwi-Wiawso,Susarabo
Western North,Sefwi-Wiawso,Kwesidonkokrom
Western,Unknown,Kwaminta
Western,Unknown,Nyan
Western North,Bodi,Nyamiakrom
Western,Unknown,Sanguri
Western,Unknown,Mamomoho
Western North,Sefwi-Wiawso,Sunko
Western,Unknown,Aurasu
Western North,Sefwi-Wiawso,Kojoantukrom
Western,Unknown,Susankuru
Western North,Sefwi-Wiawso,Yaokrom
Western North,Sefwi-Wiawso,Kojoesuanikrom
Western North,Sefwi-Wiawso,Kwamikankakrom
Western North,Sefwi-Wiawso,Nsena
Western North,Sefwi-Wiawso,Chirimako
Western,Unknown,Kafibenia
Western,Unknown,Aiyinabure
Western North,Sefwi-Wiawso,Betimwia
Western North,Sefwi-Wiawso,Awawye
Western,Unknown,Kotosu
Western North,Sefwi-Wiawso,Amaniyekrom
Western North,Sefwi-Wiawso,Kwa
Western,Unknown,Akwasu
Western North,Sefwi-Wiawso,Asuentim
Western North,Sefwi-Wiawso,Nkabeda
Western North,Sefwi-Wiawso,Bechiri
Western North,Sefwi-Wiawso,Kuruma
Western,Unknown,Esuefu
Western North,Sefwi-Wiawso,Akrakrom
Western North,Sefwi-Wiawso,Kwesipisukrom
Western North,Sefwi-Wiawso,Asimwere
Western North,Sefwi-Wiawso,Ntere
Western North,Sefwi-Wiawso,Kwaku Usakrom
Western,Unknown,Ampebam
Western,Unknown,Bechua
Western North,Sefwi-Wiawso,Bechua
Western North,Sefwi-Wiawso,Abinimakrom
Western North,Sefwi-Wiawso,Apaso
Western North,Sefwi-Wiawso,Kofi Usakrom
Western North,Sefwi-Wiawso,Diubire
Western,Unknown,Boafere
Western North,Sefwi-Wiawso,Aurasua
Western,Unknown,Kobnadankosu
Western,Unknown,Cherebra
Western North,Sefwi-Wiawso,Ampamasakrom
Western North,Sefwi-Wiawso,Kanyanasi
Western North,Sefwi-Wiawso,Ampebam
Western,Unknown,Nyabo
Western,Unknown,Mprempe
Western North,Sefwi-Wiawso,Kojoatakrom
Western North,Sefwi-Wiawso,Mprempe
Western North,Sefwi-Wiawso,Atakrom
Western North,Sefwi-Wiawso,Eduakobnakrom
Western North,Sefwi-Wiawso,Beditokrom
Ahafo,Asunafo South,Kwasikwachirikrom
Western North,Sefwi-Wiawso,Yaokutiakrom
Western North,Sefwi-Wiawso,Kwaboajikrom
Ahafo,Asunafo South,Ahirinso
Ahafo,Asunafo South,Metemano
Ahafo,Unknown,Abohiem
Western North,Sefwi-Wiawso,Kobrakobikrom
Western,Unknown,Mehiem
Western North,Sefwi-Wiawso,Kwa Ajekrom
Western North,Sefwi-Wiawso,Kwakoamakrom
Ahafo,Unknown,Bensobo
Ahafo,Asunafo South,Kawiakrom
Western North,Sefwi-Wiawso,Yakasi
Western,Unknown,Buaku
Western North,Sefwi-Wiawso,Kwamipunkrom
Western,Unknown,Kakabon
Western,Unknown,Asuoya
Western North,Sefwi-Wiawso,Takojokrom
Western,Unknown,Suhienkuma
Western North,Sefwi-Wiawso,Kwakakrom
Western North,Sefwi-Wiawso,Achinasi
Western,Unknown,Kwachamboi
Western North,Sefwi-Wiawso,Ausiakrom
Western North,Sefwi-Wiawso,Yaomensakrom
Western,Unknown,Adubas
Western,Unknown,Dumwenitiama
Western North,Sefwi-Wiawso,Senejakrom
Western,Unknown,Dukunsue
Western,Unknown,Auratiti
Western North,Sefwi-Wiawso,Mraden
Western North,Sefwi-Wiawso,Konikrom
Western,Unknown,Ngwuni Ngwuni
Western North,Sefwi-Wiawso,Fanchinibra
Western North,Sefwi-Wiawso,Ikuabo
Ahafo,Asunafo South,Ahireso
Ahafo,Asunafo South,Beditokrom
Ahafo,Asunafo South,Awum
Ahafo,Asunafo South,Kwamiyamikrom
Ahafo,Asunafo South,Boadikrom
Western North,Sefwi-Wiawso,Mpiasem
Western North,Sefwi-Wiawso,Aiyinabrim
Western,Unknown,Amanfi
Western,Unknown,Kantankuni
Western,Unknown,Kantankrugu
Ahafo,Asunafo North,Kwaminkrom
Ahafo,Asunafo North,Atuabra
Ahafo,Asunafo North,Atawinsua
Ahafo,Asunafo North,Apiraku
Ahafo,Asunafo North,Nsutam
Ahafo,Asunafo North,Esuapuku
Ahafo,Asunafo North,Ntome
Ahafo,Asunafo North,Ayinkru
Ahafo,Asunafo North,Nferenchere
Ahafo,Asunafo North,Bupaiasi
Ahafo,Asunafo South,Edukrom
Ahafo,Asunafo North,Klamakokrom
Ahafo,Asunafo North,Bakudie
Ahafo,Asunafo North,Kwakupom
Ahafo,Asunafo North,Awahem
Ahafo,Asunafo South,Kojopukukrom
Ahafo,Asunafo North,Kwaduko
Ahafo,Asunafo North,Kofiedisin
Ahafo,Asunafo North,Kwadonkokrom
Ahafo,Asunafo North,Adiapina
Ahafo,Asunafo South,Achiribuana
Ahafo,Asunafo South,Kojoponkrom
Ahafo,Asunafo South,Kwampukrom
Ahafo,Asunafo South,Kwesijemikrom
Ahafo,Asunafo South,Kobnafusakrom
